n,DATA,REG_SISCRIM,FATO,LOCAL,ORGAO,HORARIO,ENDERECO,LON_UTM,LAT_UTM,LON,LAT,VESTIG_BIO,LAUDO_INC,LAUDO,PCF_1,PCF_2,OCORR_SIGEPOL,ATIV_SISCRIM
47,02/04/15,1260/15,Roubo,Agência,Correios,,"Rua Caçador, 491, São José dos Pinhais",692005,7174602,,,laudo INC emitido,1955/15,832/15,Reinaldo,Brunori,234/15,84/15
48,05/04/15,1288/15,Outros,Outro,PF,,"Estrada Santa Cândida, 290, Curitiba",679250,7192552,,,nenhum,,Inf 094/15,Akira,Sandro,238/15,85/15
49,06/04/15,"1285/15, 1290/15",Roubo,Viatura,Correios,,"Rua Anne Frank, 4920, Hauer, Curitiba ",677559,7177630,,,laudo INC emitido,2152/15,744/16,Marlon,Darwin,240/15,82/15
50,07/04/15,1374/15,Roubo,Viatura,Correios,,"Rua Ourizona, 1700, Sítio Cercado, Curitiba",674614,7173574,,,nenhum,,789/15,Sérvio,Accioly,244/15,103/15
51,08/04/15,1343/15,Roubo,Viatura,Correios,,"Rua Jornalista Reinaldo Dacheux Pereira, entre Fernando Knalpp e Ernesto Biscandi, CIC",669678,7177825,,,envio pendente,1948/16,1008/15,Franus,Ronaldo,247/15,88/15
52,10/04/15,1375/15,Roubo,Agência,Correios,,"Rua Jasmim, 395, Campo Magro",665244,7192041,,,enviado INC,314/16,1891/15,Sérvio,Débora,253/15,104/15
53,16/04/15,1479/15,Preliminar - Maconha,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,720/15,Luiz,-,274/15,99/15
54,28/04/15,1536/15,Estelionato - Telefone,Agência,CEF,,"Rua dos Pioneiros, 1171, Sitio Cercado, Curitiba",673998,7174772,,,laudo INC emitido,2090/15,877/15,Maia,Adriana,282/15,120/15
55,22/04/15,1539/15,Constatação de danos,Agência,Correios,,"Rua Mateus Leme, 1310, Curitiba ",673874,7187888,,,nenhum,,928/15,Maia,Accioly,288/15,138/15
56,25/04/15,1565/15-1701/15,Arrombamento,Agência,CEF,,"Rua Jacarandá, 305, Fazenda  Rio  Grande",669712,7162050,,,nenhum,,932/15,Reinaldo,Fabiano,295/15,105/15
57,28/04/15,1636/15,Furto,Viatura,Correios,,"Rua  Portugal, 401, São Francisco, Curitiba",673268,7187202,,,nenhum,,1042/15,Luiz,-,229/15,109/15
58,30/04/15,1691/15,Furto,Viatura,Correios,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,1048/15,Luiz,-,302/15,110/15
59,30/04/15,1688/15,Preliminar - Maconha,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,0828/15,Luiz,Schamne,303/15,111/15
60,01/05/15,1692/15,Explosão,Agência,CEF,,"UNICENTRO, situado à rua Santa Bertila, s/n, Irati/PR ",534486,7176040,,,enviado INC,1917/16,1877/15,Luiz,Schamne,305/15,116/15
61,04/05/15,1716/15,Constatação de danos,Agência,CEF,,"Avenida Visconde de Mauá, 1740, Oficinas, Ponta Grossa",585140,7221128,,,nenhum,,-,Marlon,Ronaldo,-,112/15
62,05/05/15,1719/15,Furto,Viatura,Correios,,SEM LOCAL DEFINIDO,-,-,,,enviado INC,820/16,898/15,Rodrigo,-,314/15,310/15
